sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/imu,2015-03-29 06:24:30.619,0.0,0.0,0.0,0.0,0.0,0.0,169.83,-6.34,-3.48
sensors/steering,2015-03-29 06:24:30.627,4514.0
sensors/imu,2015-03-29 06:24:30.635,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.34,-3.48
sensors/encoder,2015-03-29 06:24:30.639,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:30.643,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.651,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.34,-3.49
sensors/steering,2015-03-29 06:24:30.659,4514.0
sensors/brake,2015-03-29 06:24:30.676,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.683,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.33,-3.48
sensors/steering,2015-03-29 06:24:30.692,4514.0
sensors/imu,2015-03-29 06:24:30.700,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.35,-3.49
sensors/brake,2015-03-29 06:24:30.709,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.717,0.0,0.0,0.0,0.0,0.0,0.0,169.83,-6.35,-3.48
sensors/steering,2015-03-29 06:24:30.725,4514.0
sensors/brake,2015-03-29 06:24:30.741,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:30.743,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:30.750,0.0,0.0,0.0,0.0,0.0,0.0,169.82,-6.36,-3.48
sensors/steering,2015-03-29 06:24:30.758,4514.0
sensors/imu,2015-03-29 06:24:30.766,0.0,0.0,0.0,0.0,0.0,0.0,169.81,-6.35,-3.48
sensors/brake,2015-03-29 06:24:30.774,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.783,0.0,0.0,0.0,0.0,0.0,0.0,169.82,-6.36,-3.49
sensors/steering,2015-03-29 06:24:30.790,4514.0
sensors/brake,2015-03-29 06:24:30.807,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.822,0.0,0.0,0.0,0.0,0.0,0.0,169.83,-6.35,-3.51
sensors/imu,2015-03-29 06:24:30.822,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.35,-3.52
sensors/steering,2015-03-29 06:24:30.824,4514.0
sensors/encoder,2015-03-29 06:24:30.831,0.0,0.0,0.0,0.0
